116,31,66,19,2
84,5,66,13,2
75,1,63,11,2
61,6,48,8,3
41,1,26,15,4
22,1,14,7,2
7,1,5,1,2
7,1,5,1,2
18,1,5,14,2
15,1,4,11,2
18,1,5,12,2
3,1,1,1,2
22,1,14,7,2
7,1,5,1,2
59,1,28,30,6
3,1,1,1,2
42,4,23,15,5
22,1,13,8,3
7,1,5,1,2
4,1,2,1,2
12,1,3,8,2
7,1,5,1,2
4,1,2,1,2
3,1,1,1,2
39,1,23,15,5
22,1,13,8,3
7,1,5,1,2
4,1,2,1,2
7,1,5,1,2
4,1,2,1,2
67,11,53,3,2
41,1,23,17,5
22,1,13,8,3
7,1,5,1,2
4,1,2,1,2
7,1,5,1,2
4,1,2,1,2
64,16,45,3,2
19,6,5,8,2
3,1,1,1,2
30,1,25,4,4
4,1,2,1,2
4,1,2,1,2
23,1,14,8,3
7,1,5,1,2
4,1,2,1,2
23,1,14,8,3
7,1,5,1,2
4,1,2,1,2
61,6,37,18,6
3,1,1,1,2
43,12,27,4,4
14,1,10,3,2
4,1,2,1,2
14,1,10,3,2
4,1,2,1,2
36,4,20,12,4
23,1,13,9,3
7,1,4,2,2
4,1,2,1,2
7,1,4,2,2
4,1,2,1,2
42,4,22,16,5
23,1,13,9,3
7,1,4,2,2
4,1,2,1,2
7,1,4,2,2
4,1,2,1,2
17,1,1,15,2
3,1,1,1,2
40,9,27,4,4
14,1,10,3,2
4,1,2,1,2
14,1,10,3,2
4,1,2,1,2
33,1,20,12,4
23,1,13,9,3
7,1,4,2,2
4,1,2,1,2
7,1,4,2,2
4,1,2,1,2
39,1,22,16,5
23,1,13,9,3
7,1,4,2,2
4,1,2,1,2
7,1,4,2,2
4,1,2,1,2
17,1,1,15,2
3,1,1,1,2
4,1,2,1,2
17,1,1,15,2
3,1,1,1,2
4,1,2,1,2
54,29,16,9,3
17,1,1,15,2
3,1,1,1,2
7,1,4,2,2
4,1,2,1,2
60,29,18,13,4
17,1,1,15,2
3,1,1,1,2
7,1,4,2,2
4,1,2,1,2
80,6,60,14,2
67,11,53,3,2
42,4,35,3,3
16,1,10,5,2
4,1,2,1,2
16,1,10,5,2
4,1,2,1,2
41,1,23,17,5
22,1,13,8,3
7,1,5,1,2
4,1,2,1,2
7,1,5,1,2
4,1,2,1,2
64,16,45,3,2
19,6,4,9,2
30,1,25,4,4
4,1,2,1,2
4,1,2,1,2
23,1,13,9,3
7,1,4,2,2
4,1,2,1,2
23,1,13,9,3
7,1,4,2,2
4,1,2,1,2
61,6,35,20,5
43,12,26,5,3
14,1,10,3,2
4,1,2,1,2
36,4,20,12,4
23,1,13,9,3
7,1,4,2,2
4,1,2,1,2
7,1,4,2,2
4,1,2,1,2
42,4,22,16,5
23,1,13,9,3
7,1,4,2,2
4,1,2,1,2
7,1,4,2,2
4,1,2,1,2
17,1,1,15,2
3,1,1,1,2
40,9,26,5,3
14,1,10,3,2
4,1,2,1,2
33,1,20,12,4
23,1,13,9,3
7,1,4,2,2
4,1,2,1,2
7,1,4,2,2
4,1,2,1,2
39,1,22,16,5
23,1,13,9,3
7,1,4,2,2
4,1,2,1,2
7,1,4,2,2
4,1,2,1,2
17,1,1,15,2
3,1,1,1,2
4,1,2,1,2
54,29,15,10,3
17,1,1,15,2
3,1,1,1,2
7,1,4,2,2
4,1,2,1,2
60,29,17,14,4
17,1,1,15,2
3,1,1,1,2
7,1,4,2,2
4,1,2,1,2
78,1,57,20,2
62,6,48,8,3
46,1,42,3,2
30,1,24,5,3
4,1,2,1,2
23,1,13,9,3
7,1,4,2,2
4,1,2,1,2
23,1,13,9,3
7,1,4,2,2
4,1,2,1,2
43,12,25,6,3
13,1,8,4,3
4,1,2,1,2
35,4,16,15,5
22,1,10,11,3
7,1,2,4,3
5,1,2,2,3
3,1,1,1,2
3,1,1,1,2
22,1,10,11,3
7,1,2,4,3
5,1,2,2,3
3,1,1,1,2
3,1,1,1,2
42,4,18,20,6
22,1,10,11,3
7,1,2,4,3
5,1,2,2,3
3,1,1,1,2
3,1,1,1,2
22,1,10,11,3
7,1,2,4,3
5,1,2,2,3
3,1,1,1,2
3,1,1,1,2
7,1,2,4,3
5,1,2,2,3
3,1,1,1,2
3,1,1,1,2
5,1,3,1,2
30,1,24,5,3
4,1,2,1,2
23,1,13,9,3
7,1,4,2,2
4,1,2,1,2
23,1,13,9,3
7,1,4,2,2
4,1,2,1,2
59,11,37,11,5
40,9,25,6,3
13,1,7,5,4
3,1,1,1,2
4,1,2,1,2
32,1,14,17,7
22,1,8,13,5
20,1,7,12,4
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
22,1,8,13,5
20,1,7,12,4
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
39,1,16,22,8
22,1,8,13,5
20,1,7,12,4
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
22,1,8,13,5
20,1,7,12,4
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
20,1,7,12,4
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
40,9,25,6,3
13,1,7,5,4
3,1,1,1,2
4,1,2,1,2
32,1,14,17,7
22,1,8,13,5
20,1,7,12,4
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
22,1,8,13,5
20,1,7,12,4
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
39,1,16,22,8
22,1,8,13,5
20,1,7,12,4
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
22,1,8,13,5
20,1,7,12,4
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
20,1,7,12,4
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
30,2,22,6,3
3,1,1,1,2
4,1,2,1,2
22,1,8,13,5
20,1,7,12,4
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
22,1,8,13,5
20,1,7,12,4
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
13,4,7,2,3
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
7,1,1,5,2
5,1,1,3,2
3,1,1,1,2
30,1,4,25,3
