97,21,58,18,3
74,14,56,4,3
56,4,47,6,3
7,1,4,2,3
5,1,3,1,2
31,8,20,3,2
7,1,2,5,2
14,1,12,1,2
5,1,3,1,2
13,1,7,5,3
30,1,17,14,5
20,12,6,2,3
11,1,6,5,3
6,1,3,3,2
11,1,6,5,3
6,1,3,3,2
19,1,10,9,4
14,1,7,7,3
20,12,6,2,3
11,1,6,5,3
6,1,3,3,2
11,1,6,5,3
6,1,3,3,2
19,1,10,9,4
14,1,7,7,3
7,1,4,2,3
5,1,3,1,2
31,8,20,3,2
7,1,2,5,2
14,1,12,1,2
5,1,3,1,2
13,1,7,5,3
30,1,17,14,5
20,12,6,2,3
11,1,6,5,3
6,1,3,3,2
11,1,6,5,3
6,1,3,3,2
19,1,10,9,4
14,1,7,7,3
20,12,6,2,3
11,1,6,5,3
6,1,3,3,2
11,1,6,5,3
6,1,3,3,2
19,1,10,9,4
14,1,7,7,3
55,1,42,12,4
50,1,29,21,4
37,1,24,13,3
31,8,20,3,2
15,1,12,2,3
6,1,3,3,2
14,1,7,7,3
30,1,16,15,4
20,12,5,3,2
11,1,6,5,3
6,1,3,3,2
18,1,9,9,4
13,1,6,7,3
24,1,20,3,2
15,1,12,2,3
6,1,3,3,2
14,1,7,7,3
20,12,5,3,2
11,1,6,5,3
6,1,3,3,2
18,1,9,9,4
13,1,6,7,3
31,8,15,9,4
20,12,5,3,2
11,1,6,5,3
6,1,3,3,2
18,1,9,9,4
13,1,6,7,3
37,1,24,13,3
31,8,20,3,2
15,1,12,2,3
6,1,3,3,2
14,1,7,7,3
30,1,16,15,4
20,12,5,3,2
11,1,6,5,3
6,1,3,3,2
18,1,9,9,4
13,1,6,7,3
24,1,20,3,2
15,1,12,2,3
6,1,3,3,2
14,1,7,7,3
20,12,5,3,2
11,1,6,5,3
6,1,3,3,2
18,1,9,9,4
13,1,6,7,3
31,8,15,9,4
20,12,5,3,2
11,1,6,5,3
6,1,3,3,2
18,1,9,9,4
13,1,6,7,3
37,1,15,23,4
31,8,15,10,4
20,12,5,3,2
11,1,6,6,3
6,1,3,3,2
18,1,9,10,4
13,1,6,7,3
37,1,24,13,3
31,8,20,3,2
15,1,12,2,3
6,1,3,3,2
14,1,7,7,3
30,1,16,15,4
20,12,5,3,2
11,1,6,5,3
6,1,3,3,2
18,1,9,9,4
13,1,6,7,3
24,1,20,3,2
15,1,12,2,3
6,1,3,3,2
14,1,7,7,3
20,12,5,3,2
11,1,6,5,3
6,1,3,3,2
18,1,9,9,4
13,1,6,7,3
31,8,15,9,4
20,12,5,3,2
11,1,6,5,3
6,1,3,3,2
18,1,9,9,4
13,1,6,7,3
37,1,24,13,3
31,8,20,3,2
15,1,12,2,3
6,1,3,3,2
14,1,7,7,3
30,1,16,15,4
20,12,5,3,2
11,1,6,5,3
6,1,3,3,2
18,1,9,9,4
13,1,6,7,3
24,1,20,3,2
15,1,12,2,3
6,1,3,3,2
14,1,7,7,3
20,12,5,3,2
11,1,6,5,3
6,1,3,3,2
18,1,9,9,4
13,1,6,7,3
31,8,15,9,4
20,12,5,3,2
11,1,6,5,3
6,1,3,3,2
18,1,9,9,4
13,1,6,7,3
51,16,26,10,2
24,1,20,3,2
15,1,11,3,2
6,1,3,3,2
14,1,7,7,3
20,12,5,3,2
11,1,6,5,3
6,1,3,3,2
18,1,9,9,4
13,1,6,7,3
50,1,18,32,3
37,1,15,23,4
31,8,15,10,4
20,12,5,3,2
11,1,6,6,3
6,1,3,3,2
18,1,9,10,4
13,1,6,7,3
13,1,2,10,2
11,1,2,8,2
5,1,2,2,2
4,1,2,1,2
31,8,20,3,2
7,1,2,5,2
14,1,12,1,2
5,1,3,1,2
13,1,7,5,3
30,1,17,14,5
20,12,6,2,3
11,1,6,5,3
6,1,3,3,2
11,1,6,5,3
6,1,3,3,2
19,1,10,9,4
14,1,7,7,3
20,12,6,2,3
11,1,6,5,3
6,1,3,3,2
11,1,6,5,3
6,1,3,3,2
19,1,10,9,4
14,1,7,7,3
73,25,45,4,2
13,1,2,10,2
11,1,2,8,2
5,1,2,2,2
4,1,2,1,2
31,8,20,3,2
7,1,2,5,2
14,1,12,1,2
5,1,3,2,2
13,1,7,6,3
30,1,17,14,5
20,12,6,2,3
11,1,6,5,3
6,1,3,3,2
11,1,6,5,3
6,1,3,3,2
19,1,10,9,4
14,1,7,7,3
20,12,6,2,3
11,1,6,5,3
6,1,3,3,2
11,1,6,5,3
6,1,3,3,2
19,1,10,9,4
14,1,7,7,3
71,9,42,20,3
60,1,41,18,3
56,4,40,12,3
4,1,2,1,2
37,1,21,16,3
31,8,19,4,2
19,1,14,4,3
15,1,11,3,2
6,1,3,3,2
6,1,3,3,2
13,1,6,7,3
30,1,14,16,4
20,12,5,3,2
11,1,5,6,3
6,1,2,3,2
3,1,1,1,2
18,1,6,12,4
13,1,3,9,3
3,1,1,1,2
4,1,1,2,2
3,1,1,1,2
31,8,19,4,2
19,1,14,4,3
15,1,11,3,2
6,1,3,3,2
6,1,3,3,2
13,1,6,7,3
30,1,14,16,4
20,12,5,3,2
11,1,5,6,3
6,1,2,3,2
3,1,1,1,2
18,1,6,12,4
13,1,3,9,3
3,1,1,1,2
4,1,1,2,2
3,1,1,1,2
31,8,14,10,4
20,12,5,3,2
11,1,5,6,3
6,1,2,3,2
3,1,1,1,2
18,1,6,12,4
13,1,3,9,3
3,1,1,1,2
4,1,1,2,2
3,1,1,1,2
37,1,21,16,3
31,8,19,4,2
19,1,14,4,3
15,1,11,3,2
6,1,3,3,2
6,1,3,3,2
13,1,6,7,3
30,1,14,16,4
20,12,5,3,2
11,1,5,6,3
6,1,2,3,2
3,1,1,1,2
18,1,6,12,4
13,1,3,9,3
3,1,1,1,2
4,1,1,2,2
3,1,1,1,2
31,8,19,4,2
19,1,14,4,3
15,1,11,3,2
6,1,3,3,2
6,1,3,3,2
13,1,6,7,3
30,1,14,16,4
20,12,5,3,2
11,1,5,6,3
6,1,2,3,2
3,1,1,1,2
18,1,6,12,4
13,1,3,9,3
3,1,1,1,2
4,1,1,2,2
3,1,1,1,2
31,8,14,10,4
20,12,5,3,2
11,1,5,6,3
6,1,2,3,2
3,1,1,1,2
18,1,6,12,4
13,1,3,9,3
3,1,1,1,2
4,1,1,2,2
3,1,1,1,2
55,1,34,23,2
51,16,23,12,2
31,8,19,4,2
19,1,14,4,3
15,1,11,3,2
6,1,3,3,2
6,1,3,3,2
13,1,6,7,3
30,1,14,16,4
20,12,5,3,2
11,1,5,6,3
6,1,2,3,2
18,1,6,12,4
13,1,3,9,3
4,1,1,2,2
3,1,1,1,2
50,1,17,33,3
37,1,11,27,3
31,8,11,14,3
5,1,2,3,2
10,1,8,1,2
4,1,1,2,2
3,1,1,1,2
9,1,5,3,2
4,1,1,2,2
3,1,1,1,2
53,21,29,3,2
24,1,19,4,2
19,1,14,4,3
15,1,11,3,2
6,1,3,3,2
6,1,3,3,2
20,12,5,3,2
11,1,5,6,3
6,1,2,3,2
18,1,6,12,4
13,1,3,9,3
4,1,1,2,2
