80,9,2156,1331,1367,449
57,9,901,633,471,290
15,4,50,38,25,19
11,5,36,21,28,10
6,4,5,5,1,7
2,2,1,0,1,0
2,2,0,0,0,1
11,5,27,21,11,19
6,4,5,5,1,7
2,2,1,0,1,0
2,2,0,0,0,1
35,7,368,253,184,110
27,8,177,150,54,151
11,4,34,31,18,12
8,4,16,15,9,12
27,5,151,150,22,151
2,2,0,0,0,1
24,5,131,125,47,136
8,4,16,15,8,12
50,7,565,497,198,334
14,4,36,30,14,19
11,5,36,21,28,10
6,4,5,5,1,7
2,2,1,0,1,0
2,2,0,0,0,1
11,5,27,21,11,19
6,4,5,5,1,7
2,2,1,0,1,0
2,2,0,0,0,1
33,8,274,214,98,126
2,2,0,0,0,1
26,5,154,148,61,105
24,5,146,125,73,121
5,3,7,4,7,3
5,2,4,4,0,6
17,5,60,56,22,67
8,4,16,15,8,12
7,3,18,13,18,3
24,5,131,125,45,136
8,4,16,15,8,12
21,5,75,74,3,100
13,5,33,33,0,23
10,4,24,21,7,13
8,3,15,15,7,13
7,3,18,13,18,3
28,7,150,150,13,162
27,7,150,150,16,162
24,4,131,125,44,137
8,3,15,15,7,13
47,10,454,420,126,390
46,8,471,420,169,399
6,4,5,5,1,7
2,2,1,0,1,0
2,2,0,0,0,1
32,7,189,189,12,183
3,2,1,1,0,2
24,5,145,125,71,121
6,3,11,8,11,4
19,6,74,73,4,71
12,6,32,32,1,20
10,6,24,21,7,21
8,3,24,19,24,4
27,7,148,148,15,147
26,7,148,148,22,147
24,7,130,125,41,146
11,5,27,21,11,19
6,4,5,5,1,7
2,2,1,0,1,0
2,2,0,0,0,1
35,8,288,252,68,183
3,2,1,1,0,2
24,5,145,125,71,121
6,3,11,8,11,4
19,6,74,73,4,71
12,6,32,32,1,20
10,6,24,21,7,21
8,3,24,19,24,4
27,7,148,148,15,147
26,7,148,148,22,147
24,7,130,125,41,146
46,7,455,420,127,527
7,4,5,5,1,7
6,4,5,5,1,7
2,2,1,0,1,0
2,2,0,0,0,1
19,5,66,66,6,91
10,5,24,21,7,21
8,3,23,19,23,5
8,3,20,19,4,8
57,8,837,633,368,316
16,4,57,51,19,35
10,4,14,13,3,14
2,2,0,0,0,1
5,3,7,4,6,0
2,2,1,0,1,0
2,2,0,0,0,1
7,4,5,5,1,7
6,4,5,5,1,7
2,2,1,0,1,0
3,2,1,1,0,2
7,4,6,6,2,4
5,3,7,4,6,0
2,2,1,0,1,0
2,2,0,0,0,1
5,4,4,4,0,3
2,2,1,0,1,0
35,8,368,253,178,115
27,6,153,150,29,115
2,2,0,0,0,1
24,5,146,125,73,121
5,3,7,4,7,3
5,2,4,4,0,6
19,5,73,72,9,75
11,4,34,31,15,12
8,4,16,15,8,12
7,3,18,13,18,3
26,6,151,148,28,151
11,4,34,31,15,12
8,4,16,15,8,12
20,5,75,74,4,82
2,2,0,0,0,1
10,4,24,21,7,13
8,4,15,15,7,13
7,3,18,13,18,3
27,5,151,150,17,151
2,2,0,0,0,1
24,5,131,125,44,137
8,4,15,15,7,13
51,6,551,510,151,342
15,4,42,38,12,35
10,4,14,13,3,14
2,2,0,0,0,1
5,3,7,4,6,0
2,2,1,0,1,0
2,2,0,0,0,1
7,4,5,5,1,7
6,4,5,5,1,7
2,2,1,0,1,0
3,2,1,1,0,2
7,4,6,6,2,4
5,3,7,4,6,0
2,2,1,0,1,0
2,2,0,0,0,1
5,4,4,4,0,3
2,2,1,0,1,0
35,9,341,253,139,127
2,2,0,0,0,1
26,6,153,148,52,106
24,5,145,125,71,121
6,3,11,8,11,4
16,4,60,56,19,52
8,3,15,15,7,13
8,3,24,19,24,4
24,4,130,125,41,138
8,3,15,15,7,13
20,6,75,74,3,88
13,6,33,33,0,31
10,6,24,21,7,21
8,3,24,19,24,4
28,7,150,150,10,171
27,7,150,150,16,171
24,7,130,125,40,146
50,7,536,497,144,428
12,4,21,21,3,17
10,4,14,13,3,14
2,2,0,0,0,1
5,3,7,4,6,0
2,2,1,0,1,0
2,2,0,0,0,1
7,4,5,5,1,7
6,4,5,5,1,7
2,2,1,0,1,0
3,2,1,1,0,2
7,4,6,6,2,4
5,3,7,4,6,0
2,2,1,0,1,0
2,2,0,0,0,1
5,4,4,4,0,3
2,2,1,0,1,0
35,7,289,252,68,221
3,2,1,1,0,2
24,4,131,125,55,114
13,4,30,27,16,29
9,3,15,15,7,7
8,4,19,15,13,9
8,3,15,15,7,13
3,2,3,1,2,0
12,3,21,21,9,31
8,4,19,15,13,9
8,3,15,15,7,13
6,3,7,6,2,3
4,2,6,5,4,0
15,4,47,44,22,39
9,3,15,15,7,7
8,4,19,15,13,9
8,3,15,15,7,13
3,2,3,1,2,0
12,3,21,21,9,31
8,4,19,15,13,9
8,3,15,15,7,13
4,2,6,5,4,0
19,4,66,63,24,86
9,3,15,15,7,7
8,4,19,15,13,9
8,3,15,15,7,13
3,2,3,1,2,0
12,3,21,21,9,31
8,4,19,15,13,9
8,3,15,15,7,13
13,5,32,32,0,20
12,5,32,32,1,20
10,5,21,21,4,20
3,2,3,2,3,0
3,3,2,2,1,1
14,4,53,48,25,26
6,3,7,6,2,3
4,2,6,5,4,0
17,5,54,54,2,56
12,5,32,32,1,20
10,5,21,21,4,20
3,2,3,2,3,0
3,3,2,2,1,1
10,3,27,24,11,13
4,2,6,5,4,0
19,5,73,73,3,72
12,5,32,32,1,20
10,5,21,21,4,20
3,2,3,2,3,0
3,3,2,2,1,1
8,3,22,19,18,6
23,5,95,95,3,132
12,5,32,32,1,20
10,5,21,21,4,20
3,2,3,2,3,0
